job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,remote_ratio
Data Scientist,MI,FT,On-site,2024,US,111600,USD,111600,US,L,0
Machine Learning Engineer,SE,FT,Remote,2024,US,166700,USD,166700,US,M,100
Machine Learning Engineer,SE,FT,Remote,2024,US,150000,USD,150000,US,M,100
Machine Learning Engineer,SE,FT,On-site,2024,US,220000,USD,220000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,170000,USD,170000,US,M,0
Machine Learning Engineer,SE,FT,Remote,2024,US,418000,USD,418000,US,M,100
Machine Learning Engineer,SE,FT,Remote,2024,US,141000,USD,141000,US,M,100
Research Engineer,SE,FT,On-site,2024,US,440000,USD,440000,US,M,0
Research Engineer,SE,FT,On-site,2024,US,100000,USD,100000,US,M,0
Managing Director Data Science,EX,FT,Hybrid,2024,US,260000,USD,260000,US,L,50
Data Scientist,EX,FT,On-site,2024,US,246100,USD,246100,US,M,0
Data Scientist,EX,FT,On-site,2024,US,181900,USD,181900,US,M,0
Machine Learning Engineer,EN,FT,On-site,2024,US,91000,USD,91000,US,M,0
Machine Learning Engineer,EN,FT,On-site,2024,US,70000,USD,70000,US,M,0
Business Intelligence Developer,EX,FT,On-site,2024,US,177500,USD,177500,US,M,0
Business Intelligence Developer,EX,FT,On-site,2024,US,117500,USD,117500,US,M,0
Business Intelligence Analyst,EN,FT,On-site,2024,US,95000,USD,95000,US,M,0
Business Intelligence Analyst,EN,FT,On-site,2024,US,70000,USD,70000,US,M,0
Data Science,SE,FT,On-site,2024,US,258720,USD,258720,US,M,0
Data Science,SE,FT,On-site,2024,US,160000,USD,160000,US,M,0
BI Developer,MI,FT,On-site,2024,US,154800,USD,154800,US,M,0
BI Developer,MI,FT,On-site,2024,US,76300,USD,76300,US,M,0
AI Engineer,MI,FT,On-site,2024,US,170200,USD,170200,US,M,0
AI Engineer,MI,FT,On-site,2024,US,83900,USD,83900,US,M,0
Data Engineer,SE,FT,Remote,2024,US,205000,USD,205000,US,M,100
Data Engineer,SE,FT,Remote,2024,US,165000,USD,165000,US,M,100
Data Scientist,MI,FT,On-site,2024,US,250000,USD,250000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,131600,USD,131600,US,M,0
Data Scientist,SE,FT,On-site,2024,US,240000,USD,240000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,187000,USD,187000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,134600,USD,134600,US,M,0
Data Engineer,MI,FT,On-site,2024,US,103000,USD,103000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,324000,USD,324000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,159000,USD,159000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,385000,USD,385000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,245000,USD,245000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,385000,USD,385000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,245000,USD,245000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,214300,USD,214300,US,M,0
Data Engineer,MI,FT,On-site,2024,US,108500,USD,108500,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,245700,USD,245700,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,132300,USD,132300,US,M,0
Data Specialist,MI,FT,On-site,2024,US,80000,USD,80000,US,M,0
Data Specialist,MI,FT,On-site,2024,US,73000,USD,73000,US,M,0
Machine Learning Engineer,SE,FT,Remote,2024,US,263500,USD,263500,US,M,100
Machine Learning Engineer,SE,FT,Remote,2024,US,189360,USD,189360,US,M,100
Data Architect,SE,FT,Remote,2024,US,175000,USD,175000,US,M,100
Data Architect,SE,FT,Remote,2024,US,125000,USD,125000,US,M,100
Data Science,EX,FT,On-site,2024,US,175762,USD,175762,US,M,0
Data Science,EX,FT,On-site,2024,US,97254,USD,97254,US,M,0
Applied Scientist,SE,FT,Remote,2024,US,218213,USD,218213,US,M,100
Applied Scientist,SE,FT,Remote,2024,US,178538,USD,178538,US,M,100
Research Engineer,MI,FT,On-site,2024,US,440000,USD,440000,US,M,0
Research Engineer,MI,FT,On-site,2024,US,295000,USD,295000,US,M,0
Research Engineer,MI,FT,On-site,2024,US,118600,USD,118600,US,M,0
Research Engineer,MI,FT,On-site,2024,US,96800,USD,96800,US,M,0
Data Scientist,MI,FT,On-site,2024,US,198800,USD,198800,US,M,0
Data Scientist,MI,FT,On-site,2024,US,90700,USD,90700,US,M,0
Data Engineer,SE,FT,On-site,2024,US,145000,USD,145000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,115000,USD,115000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,269100,USD,269100,US,M,0
Data Engineer,SE,FT,On-site,2024,US,131300,USD,131300,US,M,0
Research Engineer,MI,FT,On-site,2024,US,245000,USD,245000,US,M,0
Data Analyst,EN,FT,On-site,2024,US,99900,USD,99900,US,M,0
Data Analyst,EN,FT,On-site,2024,US,83000,USD,83000,US,M,0
Research Engineer,MI,FT,On-site,2024,US,240960,USD,240960,US,M,0
Research Engineer,MI,FT,On-site,2024,US,190000,USD,190000,US,M,0
Data Architect,SE,FT,On-site,2024,US,178600,USD,178600,US,M,0
Data Architect,SE,FT,On-site,2024,US,67200,USD,67200,US,M,0
Data Visualization Specialist,MI,FT,On-site,2024,US,170200,USD,170200,US,M,0
Data Visualization Specialist,MI,FT,On-site,2024,US,83900,USD,83900,US,M,0
Data Analyst,SE,FT,Remote,2024,US,169000,USD,169000,US,M,100
Data Analyst,SE,FT,Remote,2024,US,120000,USD,120000,US,M,100
Research Engineer,SE,FT,On-site,2024,US,450000,USD,450000,US,M,0
Research Engineer,SE,FT,On-site,2024,US,245000,USD,245000,US,M,0
ETL Developer,SE,FT,On-site,2024,US,99500,USD,99500,US,M,0
ETL Developer,SE,FT,On-site,2024,US,53300,USD,53300,US,M,0
Research Engineer,SE,FT,On-site,2024,US,240960,USD,240960,US,M,0
Research Engineer,SE,FT,On-site,2024,US,200800,USD,200800,US,M,0
Data Science Practitioner,MI,FT,On-site,2024,US,170200,USD,170200,US,M,0
Data Science Practitioner,MI,FT,On-site,2024,US,83900,USD,83900,US,M,0
Data Engineer,MI,FT,Remote,2024,US,125000,USD,125000,US,M,100
Data Engineer,MI,FT,Remote,2024,US,115000,USD,115000,US,M,100
Data Science,SE,FT,On-site,2024,US,261050,USD,261050,US,M,0
Data Science,SE,FT,On-site,2024,US,187000,USD,187000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,331640,USD,331640,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,283780,USD,283780,US,M,0
Data Analyst,SE,FT,On-site,2024,US,146500,USD,146500,US,M,0
Data Analyst,SE,FT,On-site,2024,US,96000,USD,96000,US,M,0
Computer Vision Engineer,SE,FT,On-site,2024,US,235000,USD,235000,US,M,0
Computer Vision Engineer,SE,FT,On-site,2024,US,185000,USD,185000,US,M,0
Data Scientist,MI,FT,Remote,2024,US,140400,USD,140400,US,M,100
Data Scientist,MI,FT,Remote,2024,US,90000,USD,90000,US,M,100
Research Scientist,SE,FT,On-site,2024,US,440000,USD,440000,US,M,0
Research Scientist,SE,FT,On-site,2024,US,245000,USD,245000,US,M,0
Data Architect,SE,FT,On-site,2024,US,76300,USD,76300,US,M,0
Data Engineer,SE,FT,On-site,2024,US,260000,USD,260000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,225000,USD,225000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,165000,USD,165000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,137000,USD,137000,US,M,0
Applied Scientist,SE,FT,On-site,2024,US,260000,USD,260000,US,L,0
Applied Scientist,SE,FT,On-site,2024,US,136000,USD,136000,US,L,0
Data Scientist,SE,FT,On-site,2024,US,296100,USD,296100,US,M,0
Data Scientist,SE,FT,On-site,2024,US,144500,USD,144500,US,M,0
Research Scientist,SE,FT,On-site,2024,US,278700,USD,278700,US,M,0
Research Scientist,SE,FT,On-site,2024,US,159300,USD,159300,US,M,0
Data Scientist,SE,FT,Remote,2024,US,206000,USD,206000,US,M,100
Data Scientist,SE,FT,Remote,2024,US,140250,USD,140250,US,M,100
Analytics Engineer,MI,FT,On-site,2024,US,100000,USD,100000,US,M,0
Analytics Engineer,MI,FT,On-site,2024,US,75000,USD,75000,US,M,0
Data Lead,SE,FT,On-site,2024,US,180000,USD,180000,US,M,0
Data Lead,SE,FT,On-site,2024,US,140000,USD,140000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,116800,USD,116800,US,M,0
Data Analyst,SE,FT,On-site,2024,US,87600,USD,87600,US,M,0
Data Scientist,SE,FT,On-site,2024,US,170000,USD,170000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,125000,USD,125000,US,M,0
Data Architect,SE,FT,On-site,2024,US,283500,USD,283500,US,M,0
Data Architect,SE,FT,On-site,2024,US,149000,USD,149000,US,M,0
ML Engineer,SE,FT,On-site,2024,US,357900,USD,357900,US,M,0
ML Engineer,SE,FT,On-site,2024,US,189400,USD,189400,US,M,0
Data Scientist,SE,FT,On-site,2024,US,212000,USD,212000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,93400,USD,93400,US,M,0
Data Engineer,SE,FT,On-site,2024,US,128656,USD,128656,US,M,0
Data Engineer,SE,FT,On-site,2024,US,103330,USD,103330,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,250900,USD,250900,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,135200,USD,135200,US,M,0
Applied Scientist,SE,FT,On-site,2024,US,414000,USD,414000,US,M,0
Applied Scientist,SE,FT,On-site,2024,US,216000,USD,216000,US,M,0
Data Specialist,MI,FT,On-site,2024,US,69000,USD,69000,US,M,0
Data Specialist,MI,FT,On-site,2024,US,51000,USD,51000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,109000,USD,109000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,62300,USD,62300,US,M,0
Analytics Engineer,MI,FT,On-site,2024,US,134160,USD,134160,US,M,0
Analytics Engineer,MI,FT,On-site,2024,US,72240,USD,72240,US,M,0
Data Analyst,MI,FT,On-site,2024,US,90500,USD,90500,US,M,0
Data Analyst,MI,FT,On-site,2024,US,42400,USD,42400,US,M,0
Data Architect,SE,FT,On-site,2024,US,381500,USD,381500,US,M,0
Data Architect,SE,FT,On-site,2024,US,202500,USD,202500,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,257000,USD,257000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,129000,USD,129000,US,M,0
Data Analyst,EN,FT,Remote,2024,US,120000,USD,120000,US,M,100
Data Analyst,EN,FT,Remote,2024,US,100000,USD,100000,US,M,100
Data Analyst,EN,FT,On-site,2024,US,80000,USD,80000,US,M,0
Data Analyst,EN,FT,On-site,2024,US,45700,USD,45700,US,M,0
Data Science,SE,FT,On-site,2024,US,138000,USD,138000,US,M,0
Data Science,SE,FT,On-site,2024,US,86000,USD,86000,US,M,0
Data Science,SE,FT,On-site,2024,US,152000,USD,152000,US,M,0
Data Science,SE,FT,On-site,2024,US,133200,USD,133200,US,M,0
Data Analyst,SE,FT,On-site,2024,US,135000,USD,135000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,120000,USD,120000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,175000,USD,175000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,150000,USD,150000,US,M,0
Data Developer,MI,FT,On-site,2024,US,100000,USD,100000,US,M,0
Data Developer,MI,FT,On-site,2024,US,95000,USD,95000,US,M,0
Data Analyst,SE,FT,Remote,2024,US,134200,USD,134200,US,M,100
Data Analyst,SE,FT,Remote,2024,US,117000,USD,117000,US,M,100
Research Scientist,MI,FT,On-site,2024,US,179000,USD,179000,US,M,0
Research Scientist,MI,FT,On-site,2024,US,112000,USD,112000,US,M,0
Data Architect,SE,FT,On-site,2024,US,234000,USD,234000,US,M,0
Data Architect,SE,FT,On-site,2024,US,146000,USD,146000,US,M,0
Data Analyst,EN,FT,Remote,2024,US,75065,USD,75065,US,M,100
Data Analyst,EN,FT,Remote,2024,US,41419,USD,41419,US,M,100
Data Engineer,MI,FT,On-site,2024,US,107800,USD,107800,US,M,0
Data Engineer,MI,FT,On-site,2024,US,61600,USD,61600,US,M,0
ML Engineer,SE,FT,On-site,2024,US,324000,USD,324000,US,M,0
ML Engineer,SE,FT,On-site,2024,US,159000,USD,159000,US,M,0
Data Analyst,EN,FT,Remote,2024,US,80000,USD,80000,US,M,100
Data Analyst,EN,FT,Remote,2024,US,75000,USD,75000,US,M,100
Research Scientist,SE,FT,On-site,2024,US,179000,USD,179000,US,M,0
Research Scientist,SE,FT,On-site,2024,US,112000,USD,112000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,247300,USD,247300,US,M,0
Data Engineer,SE,FT,On-site,2024,US,139700,USD,139700,US,M,0
Data Analyst,EN,FT,On-site,2024,US,93000,USD,93000,US,M,0
Data Analyst,EN,FT,On-site,2024,US,65750,USD,65750,US,M,0
Research Scientist,SE,FT,On-site,2024,US,234000,USD,234000,US,M,0
Research Scientist,SE,FT,On-site,2024,US,146000,USD,146000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,130000,USD,130000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,90800,USD,90800,US,M,0
Data Engineer,MI,FT,On-site,2024,US,166000,USD,166000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,73100,USD,73100,US,M,0
Data Scientist,MI,FT,On-site,2024,US,166000,USD,166000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,73100,USD,73100,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,186754,USD,186754,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,101000,USD,101000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,64000,GBP,80000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,54000,GBP,67500,US,M,0
Data Engineer,SE,FT,On-site,2024,US,138000,USD,138000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,86000,USD,86000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,106050,USD,106050,US,M,0
Data Engineer,MI,FT,On-site,2024,US,80420,USD,80420,US,M,0
Data Analyst,EN,FT,On-site,2024,US,179000,USD,179000,US,M,0
Data Analyst,EN,FT,On-site,2024,US,112000,USD,112000,US,M,0
Research Engineer,SE,FT,On-site,2024,US,234000,USD,234000,US,M,0
Research Engineer,SE,FT,On-site,2024,US,146000,USD,146000,US,M,0
Data Architect,SE,FT,On-site,2024,US,186000,USD,186000,US,M,0
Data Architect,SE,FT,On-site,2024,US,81800,USD,81800,US,M,0
Data Engineer,SE,FT,On-site,2024,US,160000,USD,160000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,94100,USD,94100,US,M,0
Data Engineer,EX,FT,On-site,2024,US,225000,USD,225000,US,M,0
Data Engineer,EX,FT,On-site,2024,US,215000,USD,215000,US,M,0
Machine Learning Engineer,SE,FT,Remote,2024,US,303400,USD,303400,US,M,100
Machine Learning Engineer,SE,FT,Remote,2024,US,216700,USD,216700,US,M,100
Machine Learning Engineer,MI,FT,On-site,2024,US,166000,USD,166000,US,M,0
Machine Learning Engineer,MI,FT,On-site,2024,US,73100,USD,73100,US,M,0
Data Modeler,SE,FT,Remote,2024,US,130000,USD,130000,US,M,100
Data Modeler,SE,FT,Remote,2024,US,110000,USD,110000,US,M,100
Data Engineer,MI,FT,On-site,2024,US,115000,USD,115000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,80000,USD,80000,US,M,0
Machine Learning Engineer,SE,FT,Remote,2024,US,195000,USD,195000,US,M,100
Machine Learning Engineer,SE,FT,Remote,2024,US,170000,USD,170000,US,M,100
Research Scientist,SE,FT,On-site,2024,US,295000,USD,295000,US,M,0
Data Engineer,SE,FT,Remote,2024,US,152375,USD,152375,US,M,100
Data Engineer,SE,FT,Remote,2024,US,94000,USD,94000,US,M,100
Data Developer,SE,FT,Remote,2024,US,180000,USD,180000,US,M,100
Data Developer,SE,FT,Remote,2024,US,130000,USD,130000,US,M,100
Analytics Engineer,SE,FT,Remote,2024,US,195000,USD,195000,US,M,100
Analytics Engineer,SE,FT,Remote,2024,US,165000,USD,165000,US,M,100
Data Scientist,MI,FT,On-site,2024,US,218000,USD,218000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,152600,USD,152600,US,M,0
Machine Learning Scientist,MI,FT,On-site,2024,US,750000,USD,750000,US,M,0
Machine Learning Scientist,MI,FT,On-site,2024,US,150000,USD,150000,US,M,0
Data Scientist,SE,FT,On-site,2024,US,136197,USD,136197,US,M,0
Data Scientist,SE,FT,On-site,2024,US,100000,USD,100000,US,M,0
Research Engineer,SE,FT,On-site,2024,US,295000,USD,295000,US,M,0
Data Engineer,EX,FT,On-site,2024,US,179000,USD,179000,US,M,0
Data Engineer,EX,FT,On-site,2024,US,112000,USD,112000,US,M,0
Data Scientist,MI,FT,On-site,2024,US,175100,USD,175100,US,M,0
Data Scientist,MI,FT,On-site,2024,US,82915,USD,82915,US,M,0
Data Science Consultant,SE,FT,On-site,2024,US,112000,USD,112000,US,M,0
Data Science Consultant,SE,FT,On-site,2024,US,109000,USD,109000,US,M,0
Analytics Engineer,MI,FT,On-site,2024,US,116550,USD,116550,US,M,0
Analytics Engineer,MI,FT,On-site,2024,US,79200,USD,79200,US,M,0
Data Scientist,MI,FT,Remote,2024,US,168000,USD,168000,US,M,100
Data Scientist,MI,FT,Remote,2024,US,120000,USD,120000,US,M,100
Machine Learning Engineer,SE,FT,On-site,2024,US,210000,USD,210000,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,160000,USD,160000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,116000,USD,116000,US,M,0
Data Engineer,SE,FT,On-site,2024,US,90000,USD,90000,US,M,0
Research Scientist,SE,FT,On-site,2024,US,247600,USD,247600,US,L,0
Research Scientist,SE,FT,On-site,2024,US,127300,USD,127300,US,L,0
Data Scientist,SE,FT,Remote,2024,US,190600,USD,190600,US,M,100
Data Scientist,SE,FT,Remote,2024,US,94400,USD,94400,US,M,100
Machine Learning Engineer,SE,FT,On-site,2024,US,258100,USD,258100,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,151900,USD,151900,US,M,0
Research Engineer,MI,FT,On-site,2024,US,720000,USD,720000,US,M,0
Research Engineer,MI,FT,On-site,2024,US,100000,USD,100000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,171000,USD,171000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,93000,USD,93000,US,M,0
Data Science Consultant,SE,FT,On-site,2024,US,104000,USD,104000,US,M,0
Data Science Consultant,SE,FT,On-site,2024,US,80000,USD,80000,US,M,0
Data Analyst,MI,FT,On-site,2024,US,158000,USD,158000,US,M,0
Data Analyst,MI,FT,On-site,2024,US,106000,USD,106000,US,M,0
Research Scientist,MI,FT,On-site,2024,US,720000,USD,720000,US,M,0
Research Scientist,MI,FT,On-site,2024,US,100000,USD,100000,US,M,0
Data Analyst,SE,FT,On-site,2024,US,140130,USD,140130,US,M,0
Data Analyst,SE,FT,On-site,2024,US,84870,USD,84870,US,M,0
Data Scientist,SE,FT,Remote,2024,US,220000,USD,220000,US,M,100
Data Scientist,SE,FT,Remote,2024,US,170000,USD,170000,US,M,100
Business Intelligence Developer,MI,FT,On-site,2024,US,117750,USD,117750,US,M,0
Business Intelligence Developer,MI,FT,On-site,2024,US,70650,USD,70650,US,M,0
Data Engineer,SE,FT,On-site,2024,US,233200,USD,233200,US,M,0
Data Engineer,SE,FT,On-site,2024,US,144200,USD,144200,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,247500,USD,247500,US,M,0
Machine Learning Engineer,SE,FT,On-site,2024,US,172200,USD,172200,US,M,0
Data Engineer,MI,FT,On-site,2024,US,138000,USD,138000,US,M,0
Data Engineer,MI,FT,On-site,2024,US,86000,USD,86000,US,M,0
Business Intelligence Developer,MI,FT,On-site,2024,US,92000,USD,92000,US,M,0
Business Intelligence Developer,MI,FT,On-site,2024,US,80000,USD,80000,US,M,0
BI Developer,SE,FT,Remote,2024,US,90000,USD,90000,US,M,100
BI Developer,SE,FT,Remote,2024,US,70000,USD,70000,US,M,100
Business Intelligence Analyst,SE,FT,On-site,2024,US,127000,USD,127000,US,M,0
Business Intelligence Analyst,SE,FT,On-site,2024,US,72600,USD,72600,US,M,0
Data Developer,EN,FT,Remote,2024,US,70000,USD,70000,US,M,100
Data Developer,EN,FT,Remote,2024,US,50000,USD,50000,US,M,100
Data Analyst,EN,FT,On-site,2024,US,71000,USD,71000,US,M,0
AI Architect,SE,FT,On-site,2024,US,198650,USD,198650,US,M,0
AI Architect,SE,FT,On-site,2024,US,137000,USD,137000,US,M,0
Data Architect,SE,FT,On-site,2024,US,160000,USD,160000,US,M,0
Data Architect,SE,FT,On-site,2024,US,100000,USD,100000,US,M,0
Data Analyst,EN,FT,Remote,2024,US,92700,USD,92700,US,M,100
Data Analyst,EN,FT,Remote,2024,US,64900,USD,64900,US,M,100
Data Scientist,MI,FT,On-site,2024,US,73000,USD,73000,US,M,0
Data Analyst,MI,FT,Remote,2024,US,81713,USD,81713,US,M,100
Data Analyst,MI,FT,Remote,2024,US,48067,USD,48067,US,M,100
Machine Learning Engineer,MI,FT,On-site,2024,US,179000,USD,179000,US,M,0
Machine Learning Engineer,MI,FT,On-site,2024,US,112000,USD,112000,US,M,0
Data Science,SE,FT,On-site,2024,US,111800,USD,111800,US,M,0
Data Science,SE,FT,On-site,2024,US,68195,USD,68195,US,M,0
Business Intelligence Analyst,SE,FT,On-site,2024,US,132000,USD,132000,US,M,0
Business Intelligence Analyst,SE,FT,On-site,2024,US,82500,USD,82500,US,M,0
